dataset,method,seed,n_neighbors,resolution,views,ensemble_runs,nmi,ari,acc
turtle,baseline,0,30,0.6,pca,1,0.8714002813672088,0.8486684498410322,0.9029147021003
turtle,bamec,0,30,0.5,"pca,wpca,diffmap",54,0.8711899545760342,0.8486600159205682,0.9030218602657523
lung,baseline,0,30,0.6,pca,1,0.723906494279965,0.3751198888961429,0.5256563245823389
lung,bamec,0,30,0.5,"pca,wpca,diffmap",54,0.723906494279965,0.3751198888961429,0.5256563245823389
diaphragm,baseline,0,30,0.6,pca,1,0.9526076264321287,0.9752100467914737,0.9827586206896551
diaphragm,bamec,0,30,0.5,"pca,wpca,diffmap",54,0.9391435911861018,0.9551414456273281,0.9827586206896551
